Distributor,Genre,Original Language,Release Date (Streaming),Runtime,Director,Producer,Production Co,Rating,Screenwriter,Release Date (DVD),Release Date (Theaters),Sound Mix,Aspect Ratio,Box Office (Gross USA),Rerelease Date (Theaters),Creator,title
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",My Octopus Teacher
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Climb
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Inspection
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Tutor
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Catherine Called Birdy
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Diary of a Wimpy Kid Christmas: Cabin Fever
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Grindhouse
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Soft & Quiet
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Misfits
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Catering Christmas
