Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
John Ridley,"Elizabeth Haggard,Regina King,Reina King,Anikah McLaren,John Ridley",John Ridley,Netflix,"Participant,BCD Travel,Royal Ties Productions",PG-13 (Some Smoking|Racial Slurs|Brief Violence|Strong Language),"Drama,Biography",English,"Mar 15, 2024, Limited","Mar 22, 2024",1h 57m,,Shirley,,,,
Richard Correll,"Richard Correll,Kevin Waller,Laurence J. Jaffe,Terry Rindal","Richard Correll,G.M. Mercier",Atlas Distribution Company,"Trailmaker Productions,120dB Films,Gerson Productions",PG (Thematic Content|Brief Smoking|A Brief Fight),Drama,English,"Apr 2, 2021, Limited","May 17, 2021",1h 40m,Dolby,The Girl Who Believes in Miracles,$3.1M,Scope (2.35:1),,
Grainger Hines,,Harry L. Welch Jr.,,,,Mystery & Thriller,English,,,1h 30m,,The Mill,,,,
Mary Mazzio,Mary Mazzio,Robert Fitzgerald,,50 Eggs Films,,Documentary,English,,"Jul 31, 2020",1h 25m,Dolby Digital,A Most Beautiful Thing,,,,
E.W. Swackhamer,,,,"Paramount Television,Wilshire Court Productions",PG-13,Mystery & Thriller,English,,,1h 40m,,Are You Lonesome Tonight?,,,,
Henry Bean,"Christopher Roberts,Susan Hoffman",Henry Bean,IDP Distribution,Fireworks Pictures,R (Some Sexual Content|Language|Strong Violence),Drama,English,"May 17, 2002, Original","Mar 17, 2017",1h 38m,"Surround,Dolby SR,Dolby Digital,Dolby A,Dolby Stereo",Believer,$406.0K,Flat (1.85:1),,
David M. Rosenthal,"Tai Duncan,Kelly McCormick,Patrick Newall",Brooks McLaren,,,TV-MA,"Sci-Fi,Mystery & Thriller,Action,Adventure",English,,"Jul 13, 2018",1h 53m,,How It Ends,,,,
Mark Toia,"Mark Toia,Pam Collis","Mark Toia,Jeff Hand",,"MRT Films Pty Ltd,11:11 Entertainment,Hanuman Films",,"Sci-Fi,Action,Mystery & Thriller",English,,"Dec 8, 2020",2h 11m,,Monsters of Man,,,,
Tommy Lee Wallace,,,,"MGM Television,Pacific Motion Pictures,Bona Fide Productions",,"Crime,Drama",English,,"Mar 13, 2017",1h 38m,,Spree,,,,
"Gaetano Morbioli,Paolo Sodi",Tom Newman,,Fathom Events,Cineroma SRL,,Music,Italian,"Apr 2, 2023, Limited","Dec 1, 2023",1h 30m,,The Journey: A Music Special from Andrea Bocelli,,,,
,,,,,,"Drama,Mystery & Thriller",English,,,14m,,Vendetta,,,,
Jingyi Shao,"Rishi Rajani,Lena Waithe,Brad Weston","Jingyi Shao,Jingyi Shao",Disney+,"Rotten Eggs Productions,Disney+,Hillman Grad,The Walt Disney Company,Synthetic Cinema International,Walt Disney Pictures,Makeready",PG,"Kids & Family,Comedy,Sports",English,,"Mar 10, 2023",1h 49m,Dolby Digital,Chang Can Dunk,,,,
John McKay,Lee Thomas,John McKay,Sony Pictures Classics,"Industry Entertainment,Film Council",R (Sexuality|Language),"Romance,Comedy",English,"Apr 5, 2002, Wide","Nov 30, 2016",1h 51m,"Dolby Stereo,Dolby Digital,Dolby A,Surround,Dolby SR",Crush,$1.1M,Scope (2.35:1),,
Julie Cohen,"Tommy Nguyen,Molly O'Brien",,Focus Features,"Universal Cinema,NBC News Studios",R (Some Language|Graphic Nude Images),Documentary,English,"Jun 30, 2023, Limited","Jul 18, 2023",1h 32m,,Every Body,$258.9K,,,
Kibwe Tavares,Ivana Mackinnon,Jack Thorne,,"Stray Bear Productions,Jellyfish Pictures,BFI Film Fund,Film4,Factory Fifteen,Shine Pictures",,Drama,British English,"Jan 16, 2013, Limited",,17m,,Jonah,,,,
Rainer Werner Fassbinder,"Dieter Schidor,Sam Waynberg","Rainer Werner Fassbinder,Burkhard Driest",,"Planet Film,Gaumont,Albatros Produktion",R,Drama,British English,,"Oct 15, 2020",1h 45m,Surround,Querelle,,,,
Andrey Bogatyrev,"Tatyana Voronetskaya,Andrey Bogatyrev","Andrey Bogatyrev,Vyacheslav Shikhaleev,Pavel Abramenkov",,,,"Action,Drama,Horror,War",Russian,,"Feb 15, 2022",1h 38m,,Red Ghost: Nazi Hunter,,,,
Alek Keshishian,"Michelle An,Caitlin Daley,Aleen Keshishian,Alek Keshishian,Katherine LeBlond,Stephanie Meurer,Zack Morgenroth","Alek Keshishian,Paul Marchand",Apple TV+,Lighthouse Management & Media,R (Language),"Documentary,Biography",English,"Nov 4, 2022, Limited","Nov 4, 2022",1h 35m,,Selena Gomez: My Mind and Me,,,,
