Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
David Prior,"Stephen Christy,Ross Richie",David Prior,20th Century Studios,"Boom! Studios,20th Century Studios,Out of Africa Entertainment",R (Language|Disturbing Images|Some Sexuality and Nudity|Violence),"Horror,Mystery & Thriller",English,"Oct 23, 2020, Wide","Jan 10, 2021",$3.0M,2h 17m,,Scope (2.35:1),The Empty Man,,,
Shane Wallace,Key Tawn Toothman,"Shane Wallace,Key Tawn Toothman",Different Day Pictures,Different Day Pictures,,"Horror,Comedy,Holiday",English,"Sep 21, 2024, Limited","Oct 24, 2024",,1h 35m,,,A Very Flattened Christmas,,,
Janeen Damian,"Michael Damian,Brad Krevoy",Kirsten Hansen,Netflix,"Motion Picture Corporation of America (MPCA),Wild Atlantic Pictures,Riviera Films",,"Romance,Comedy",English,"Mar 15, 2024, Limited","Mar 15, 2024",,1h 33m,,,Irish Wish,,,
Shawn Levy,"David Ellison,Dana Goldberg,Don Granger,Shawn Levy,Ryan Reynolds","Jonathan Tropper,T.S. Nowlin,Jennifer Flackett,Mark Levin",Netflix,"Skydance Media,21 Laps Entertainment,Maximum Effort",PG-13 (Violence/Action|Suggestive References|Language),"Sci-Fi,Adventure,Action,Comedy",English,,"Mar 11, 2022",,1h 46m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),The Adam Project,,,
Amin Shahrbanoo,Amin Shahrbanoo,Amin Shahrbanoo,,Artoax,,"Drama,Sci-Fi",English,"Aug 20, 2020, Limited",,,47m,,,The Stranger,,,
David Gordon Green,"Malek Akkad,Jason Blum,Bill Block","Paul Brad Logan,Chris Bernier,Danny McBride,David Gordon Green",Universal Pictures,"Trancas International Films Inc.,Blumhouse Productions,Miramax,Universal Pictures,Rough House Pictures",R (Gore|Bloody Horror Violence|Language Throughout|Some Sexual References),"Holiday,Horror,Mystery & Thriller",English,"Oct 14, 2022, Wide","Oct 14, 2022",$64.0M,1h 51m,Dolby Atmos,Digital 2.39:1,Halloween Ends,,,
Pete Docter,Dana Leigh Murray,"Pete Docter,Mike Jones,Kemp Powers",Disney/Pixar,"Walt Disney Pictures,Pixar Animation Studios",PG (Thematic Elements|Some Language),"Kids & Family,Comedy,Adventure,Animation",English,"Jan 12, 2024, Wide","Dec 25, 2020",$870.6K,1h 40m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Soul,,,
Céline Sciamma,"Bénédicte Couvreur,Véronique Cayla",Céline Sciamma,Neon,"Lilies Films,Hold Up Films,arte France Cinéma",R (Some Nudity and Sexuality),"History,Drama,LGBTQ+",French (France),"Dec 6, 2019, Limited","Apr 3, 2020",$3.8M,2h 1m,Dolby Digital,Flat (1.85:1),Portrait of a Lady on Fire,"Feb 14, 2020",,
Chris McKay,"David Ellison,Dana Goldberg,Don Granger,Jules Daly,David S. Goyer,Adam Kolbrenner",Zach Dean,,"New Republic Pictures,Skydance Media,Lit Entertainment Group,Paramount,Phantom Four Films",PG-13 (Language|Intense Sci-Fi Violence|Action|Some Suggestive References),"Sci-Fi,Action,Adventure",English,,"Jul 2, 2021",,2h 18m,,Scope (2.35:1),The Tomorrow War,,,
Sean Anders,"Sean Anders,John Morris,Ryan Reynolds,George Dewey,Will Ferrell,Jessica Elbaum,David Koplan","Sean Anders,John Morris",Apple TV+,"Gloria Sanchez Productions,Maximum Effort",PG-13 (Thematic Elements|Some Suggestive Material|Language),"Holiday,Musical,Comedy,Fantasy",English,"Nov 11, 2022, Limited","Nov 18, 2022",,2h 7m,,Scope (2.35:1),Spirited,,,
Francis Galluppi,"Matt O'Neill,Atif Malik,Francis Galluppi",Francis Galluppi,Well Go USA Entertainment,"Local Boogeyman Productions,Random Lane Productions,Carte Blanche",R (Violence and Language),"Mystery & Thriller,Crime,Drama",English,"May 10, 2024, Limited","May 10, 2024",$93.3K,1h 31m,,,The Last Stop in Yuma County,,,
Suri Krishnamma,,,,Peninsular Media,R (Sexual Content|Language),"Drama,Mystery & Thriller",English,,"Apr 15, 2015",,1h 25m,,,Locked In,,,
Simon Cellan Jones,"David Ellison,Dana Goldberg,Don Granger,Mark Wahlberg,Stephen Levinson",David Coggeshall,Apple TV+,"Apple Original Films,Skydance Media",PG-13 (Sequences of Violence & Action|Some Strong Language|Sexual Material),"Action,Comedy",English,,"Dec 15, 2023",,1h 58m,,,The Family Plan,,,
Brian Helgeland,"David Glasser,Taylor Sheridan,Gary Foster,Brian Helgeland,Russ Krasnoff",Brian Helgeland,Paramount+,"MTV Entertainment Studios,101 Studios,Krasnoff/Foster Entertainment,Bosque Ranch Productions",R (Sexual Content|Pervasive Language|Drug Material|Some Violence),"Crime,Drama,Mystery & Thriller",English,,"Dec 15, 2023",,2h 6m,Dolby Digital,,Finestkind,,,
Elizabeth Banks,"Phil Lord,Christopher Miller,Elizabeth Banks,Max Handelman,Brian Duffield,Aditya Sood,Matt Reilly,Christine Sun",Jimmy Warden,Universal Pictures,"Universal Studios,Lord Miller,Universal 1440 Entertainment,Brownstone Productions",R (Drug Content|Bloody Violence and Gore|Language Throughout),"Horror,Comedy",English,"Feb 24, 2023, Wide","Mar 21, 2023",$64.4M,1h 35m,Dolby Atmos,Digital 2.39:1,Cocaine Bear,,,
"Marty Pistone,Dale Trevillion",,,,,R,Mystery & Thriller,English,,,,1h 29m,,,Heart of Stone,,"Aug 26, 2003",
Zelda Williams,"Mason Novick,Diablo Cody",Diablo Cody,Focus Features,MXN Entertainment,PG-13 (Language|Bloody Images|Violent Content|Sexual Assault|Sexual Material|Teen Drinking and Drug Content),"Horror,Romance,Comedy",English,"Feb 9, 2024, Wide","Feb 27, 2024",$9.7M,1h 41m,Dolby Digital,Flat (1.85:1),Lisa Frankenstein,,,
Emma Seligman,"Elizabeth Banks,Max Handelman,Alison Small","Emma Seligman,Rachel Sennott",MGM,"Orion Pictures,Brownstone Productions",R (Some Violence|Pervasive Language|Crude Sexual Content),"Comedy,LGBTQ+",English,"Sep 1, 2023, Wide","Sep 22, 2023",$12.0M,1h 28m,,Digital 2.39:1,Bottoms,,,
David Yates,"Lawrence Grey,David Yates",Wells Tower,Netflix,"Grey Matters Productions,Wychwood Media",R (Nudity|Language Throughout|Drug Use|Some Sexual Content),"Crime,Drama",English,"Oct 20, 2023, Limited","Oct 27, 2023",,2h 2m,Dolby Digital,,Pain Hustlers,,,
Patty Jenkins,"Mark Damon,Clark Peterson,Charlize Theron,Donald Kushner,Brad Wyman",Patty Jenkins,Newmarket Film Group,"K/W Productions,MDP Worldwide,Denver and Delilah Productions,DEJ Productions,Zodiac Productions Inc.",R,"Biography,Crime,Drama,LGBTQ+",English,"Jan 30, 2004, Wide","Apr 16, 2015",$34.5M,1h 49m,"Dolby SR,DTS,Surround",Flat (1.85:1),Monster,,,
Craig Gillespie,"Aaron Ryder,Teddy Schwarzman,Craig Gillespie","Lauren Schuker Blum,Rebecca Angelo","Columbia Pictures,Sony Pictures Entertainment","Sony Pictures Entertainment (SPE),Black Bear Pictures,Ryder Picture Company,Columbia Pictures,Stage 6 Films",R (Pervasive Language|Drug Use|Sexual Material),"Comedy,Drama,Biography",English,"Sep 22, 2023, Wide","Nov 7, 2023",$13.8M,1h 45m,Dolby Digital,Digital 2.39:1,Dumb Money,,,
J Blakeson,"J Blakeson,Michael Heimler,Teddy Schwarzman,Ben Stillman",J Blakeson,,"Black Bear Pictures,Crimple Beck",R (Some Violence|Language Throughout),"Comedy,Mystery & Thriller",English,,"Feb 19, 2021",,1h 58m,,Scope (2.35:1),I Care a Lot,,,
Alan Scott Neal,"Daniel Brandt,Cole Eckerle,Dane Eckerle,Michael Giannone,Phil Keefe,Levon Panek,Taylor Sardoni,Sam Slater",Taylor Sardoni,SHOUT! STUDIOS,"Bad Grey,Burn Later Productions,AC3 Media",,"Horror,Mystery & Thriller",English,"Sep 20, 2024, Limited","Sep 20, 2024",,1h 21m,,,Last Straw,,,
Yuen Chor,Run Run Shaw,Chia Kuo,,Shaw Brothers,R,"Action,Crime,Drama",English,,,,1h 35m,,,The Killer,,,
Emerald Fennell,"Margot Robbie,Josey McNamara,Tom Ackerley,Ben Browning,Ashley Fox,Emerald Fennell",Emerald Fennell,Focus Features,"FilmNation Entertainment,LuckyChap Entertainment,Focus Features",R (Language Throughout|Drug Use|Sexual Assault|Some Sexual Material|Strong Violence),"Comedy,Mystery & Thriller",English,"Dec 25, 2020, Wide","Jan 15, 2021",$6.4M,1h 53m,Dolby Atmos,Scope (2.35:1),Promising Young Woman,,,
Daryl Wein,"David Oliver Cohen,Daryl Wein",,Regent Releasing,,R (Language|Graphic Images|Graphic Dialogue|Strong Sexual Content),"Documentary,LGBTQ+",English,"Jun 12, 2009, Limited","May 4, 2017",$11.5K,1h 15m,,,Sex-Positive,,,
Sydney Freeland,"Spencer Beighley,Wayne Carmona,Katie Elmore,Jamal Henderson,LeBron James,Maurício Mota,Nancy Utley","Sydney Freeland,Sterlin Harjo",Netflix,"The SpringHill Company,Wise Entertainment,Chernin Entertainment,Lake Ellyn Entertainment",PG-13,"Drama,Sports",English,"Sep 13, 2024, Limited","Sep 27, 2024",,1h 51m,,,Rez Ball,,,
Lee Isaac Chung,"Dede Gardner,Jeremy Kleiner,Christina Oh",Lee Isaac Chung,A24,Plan B Entertainment,PG-13 (Some Thematic Elements|A Rude Gesture),Drama,English,"Feb 12, 2021, Limited","Feb 26, 2021",$700.0K,1h 55m,,,Minari,,,
Kate Cobb,,Kevin Bigley,Gravitas Ventures,"Chicago Media Angels,In the Rye Productions",,"Drama,Mystery & Thriller",,,"Nov 8, 2024",,1h 26m,,,Okie,,,
Bobby Moresco,"Andrea Iervolino,Monika Bacardi,Danielle Maloni,Allen Dam",Bobby Moresco,Lionsgate,"Notorious Pictures,Lambo Film,Ambi Pictures,Iervolino & Lady Bacardi Entertainment,Just Bridge Entertainment,Grindstone Entertainment Group,Lionsgate",R (Some Language|A Sexual Reference),"Biography,Drama",English,"Nov 18, 2022, Limited","Nov 18, 2022",,1h 37m,Dolby Digital,,Lamborghini: The Man Behind the Legend,,,
George Clooney,"Grant Heslov,George Clooney",Mark L. Smith,MGM,"Spyglass Media Group,Smokehouse Pictures,Metro-Goldwyn-Mayer",PG-13 (Language and Smoking),"History,Drama,Biography,Sports",English,"Dec 25, 2023, Wide","Jan 16, 2024",$52.6M,2h 4m,Dolby Digital,Digital 2.39:1,The Boys in the Boat,,,
Gina Prince-Bythewood,"A.J. Dix,David Ellison,Marc Evans,Dana Goldberg,Don Granger,Beth Kono,Charlize Theron",Greg Rucka,,"Netflix,Denver and Delilah Productions,Image Comics,Dune Films,Skydance Media",R (Sequences of Graphic Violence|Language),"Action,Fantasy",English,,"Jul 10, 2020",,2h 5m,Dolby Atmos,Scope (2.35:1),The Old Guard,,,
"Kermit Christman,Del Tenney",,,,,R,Mystery & Thriller,English,,,,1h 26m,,,Descendant,,"Oct 6, 2009",
Tracy Sunderland,,Tracy Sunderland,,,,Drama,British English,,,,11m,,,Nobody,,,
"Bridget Savage Cole,Danielle Krudy","Greg Gilreath,Adam Hendricks,Drew P. Houpt,Alex Scharfman,Lucas Joaquin,Jason Blum","Bridget Savage Cole,Danielle Krudy",Prime Video,"Amazon MGM Studios,Blumhouse Television",R (Language|Some Violent Content),"Horror,Mystery & Thriller",English,,"Oct 3, 2024",,1h 41m,,,House of Spoils,,,
"David Zellner,Nathan Zellner","Lars Knudsen,Tyler Campellone,Nathan Zellner,David Zellner,George Rush,Jesse Eisenberg,David Harari",David Zellner,Bleecker Street,"ZBI,Square Peg,Felix Culpa,The Space Program",R (Some Sexual Content|Full Nudity|Bloody Images),"Comedy,Action,Adventure",English,"Apr 19, 2024, Wide","May 14, 2024",$1.0M,1h 29m,,,Sasquatch Sunset,,,
Gabriela Cowperthwaite,"Nathan Halverson,Amanda Pike,Blye Pagon Faust,Nicole Rocklin,Gabriela Cowperthwaite",Gabriela Cowperthwaite,Magnolia Pictures / Participant,"Center for Investigative Reporting Studios,Rocklin/Faust,Impact Partners",,Documentary,English,"Jun 14, 2024, Limited","Jun 14, 2024",$11.7K,1h 44m,,,The Grab,,,
Louis Leterrier,"Neal H. Moritz,Vin Diesel,Justin Lin,Jeff Kirschenbaum,Samantha Vincent","Justin Lin,Dan Mazeau",Universal Pictures,"Universal Studios,Perfect Storm Entertainment,China Film Co., Ltd.,Original Film,One Race Films,Roth/Kirschenbaum Films",PG-13 (Intense Sequences of Violence|Action|Language|Some Suggestive Material),"Action,Adventure",English,"May 19, 2023, Wide","Jun 9, 2023",$573.9M,2h 21m,"Dolby Digital,Dolby Atmos",Digital 2.39:1,Fast X,,,
Sam Rogers,,Sam Rogers,,,,"Comedy,Drama",English,,,,12m,,,Breathe,,,
Robert Lewis,Steven Bochco,,,,,Sci-Fi,English,,"May 22, 2017",,1h 14m,,,The Invisible Man,,,
Jen McGowan,"Phil Lott,Jamie Robinson,Emile Hanton",Colin Pink,,,,Drama,English,,,,11m,,,Touch,,,
George Miller,"Doug Mitchell,George Miller","George Miller,Augusta Gore",United Artists Releasing,Kennedy Miller Mitchell,R (Graphic Nudity|Brief Violence|Some Sexual Content),"Fantasy,Drama",English,"Aug 26, 2022, Wide","Nov 1, 2022",$8.3M,1h 48m,Dolby Digital,Scope (2.35:1),Three Thousand Years of Longing,,,
Miguel Sapochnik,"Kevin Misher,Jack Rapke,Jacqueline Levine,Ivor Powell","Craig Luck,Ivor Powell",,"ImageMovers,Amblin Entertainment,Walden Media,Reliance Entertainment,Misher Films",PG-13 (Brief Violent Images),"Sci-Fi,Drama",English,,"Nov 5, 2021",,1h 55m,,,Finch,,,
Potsy Ponciroli,"Devin Andre,David Boies,Kevin M. Brennan,Shannon Houchins,Chris Parker,Zack Schiller,Dylan Sellers",Mike Vukadinovich,Lionsgate,"Boies Schiller Entertainment,Limelight,Hideout Pictures",R (Language Throughout|Violence|Sexual Content),Comedy,English,"Aug 23, 2024, Limited","Aug 23, 2024",,1h 30m,,,Greedy People,,,
Ari Aster,"Lars Knudsen,Ari Aster",Ari Aster,A24,"MTL Grandé Studios,A24,IPR.VC,Access Entertainment,Square Peg",R (Graphic Nudity|Drug Use|Language|Sexual Content|Strong Violent Content),"Adventure,Horror,Mystery & Thriller,Comedy,Drama",English,"Apr 21, 2023, Wide","Jun 13, 2023",$8.1M,2h 59m,Dolby Digital,Flat (1.85:1),Beau Is Afraid,,,
Bastiaan Schravendeel,Tünde Vollenbroek,Bastiaan Schravendeel,,Polder Animation,,"Comedy,Animation",,,,,7m,,,Scrambled,,,
Yoo-sik Hwang,,Yoo-sik Hwang,,,,"Action,Mystery & Thriller",Korean,,"Jan 22, 2019",,1h 33m,,,The Beast,,,
Connie Lamothe,Connie Lamothe,Michael P. Brennan,,"CCL Productions and Casting,Lucid Images",,Drama,English,,,,41m,,,Reunion,,,
Dean Fleischer-Camp,"Dean Fleischer-Camp,Andrew Goldman,Elisabeth Holm,Caroline Kaplan,Terry Leonard,Paul Mezey,Jenny Slate","Dean Fleischer-Camp,Jenny Slate,Nick Paley",A24,Cinereach,PG (Thematic Elements|Some Suggestive Material),"Kids & Family,Comedy,Animation",English,"Jul 22, 2022, Wide","Sep 6, 2022",$5.7M,1h 29m,,,Marcel the Shell with Shoes On,,,
Antonio Campos,"Max Born,Jake Gyllenhaal,Riva Marker,Randall Poster","Antonio Campos,Paulo Campos",,Nine Stories Productions,R (Sex-Related Content|Language|Graphic Nudity|Violence and Bloody Images),"Crime,Drama,Mystery & Thriller",English,,"Sep 16, 2020",,2h 18m,,,The Devil All the Time,,,
Peter Farrelly,"Paul Currie,Thorsten Schumacher,John Jacobs,Michael De Luca","Jeff Bushell,Brian Jarvis,Jim Freeman,Peter Farrelly,Pete Jones,Mike Cerrone",Amazon MGM Studios,"Smart Entertainment,Footloose Productions,Rocket Science,Michael De Luca Productions",R (Some Drug Content|Sexual Material|Language Throughout),"Comedy,Fantasy",English,,"Mar 7, 2024",,1h 48m,,,Ricky Stanicky,,,
"Richard Ramsey,Joel Smallbone","Justin Tolley,Josh Walsh,Luke Smallbone","Joel Smallbone,Richard Ramsey",Lionsgate,Kingdom Story Company,PG (Thematic Elements),"Drama,Music",English,"Apr 26, 2024, Wide","Jun 11, 2024",$20.3M,1h 52m,,,Unsung Hero,,,
Reinaldo Marcus Green,"Robert Teitel,Dede Gardner,Jeremy Kleiner,Ziggy Marley,Rita Marley,Cedella Marley","Terence Winter,Frank E. Flowers,Zach Baylin,Reinaldo Marcus Green",Paramount Pictures,"State Street Pictures,Tuff Gong Pictures,Plan B Entertainment",PG-13 (Marijuana Use|Brief Strong Language|Smoking Throughout|Some Violence),"Biography,Drama,Music",English,"Feb 14, 2024, Wide","Mar 19, 2024",$96.8M,1h 47m,Dolby Atmos,Digital 2.39:1,Bob Marley: One Love,,,
Jeff Rowe,"Seth Rogen,Evan Goldberg,James Weaver","Seth Rogen,Evan Goldberg,Jeff Rowe,Dan Hernandez,Benji Samit",Paramount Pictures,"Paramount Pictures,Nickelodeon Animation Studios,Point Grey,Mikros Animation,Image Comics,Nickelodeon Movies",PG (Language|Impolite Material|Sequences of Violence & Action),"Kids & Family,Comedy,Adventure,Animation",English,"Aug 2, 2023, Wide","Sep 1, 2023",$118.4M,1h 39m,"DTS,Dolby Digital,Dolby Atmos",Digital 2.39:1,Teenage Mutant Ninja Turtles: Mutant Mayhem,,,
Carlos Ayala,,,Lionsgate,Ghost Box Productions,,Horror,English,,"Oct 29, 2024",,1h 29m,,,Amityville: Where the Echo Lives,,,
Randall Okita,"Matt Code,Kristy Neville","Adam Yorke,Tommy Gushue",IFC Midnight,Wildling Pictures,,"Mystery & Thriller,Crime,Drama",English,"Jan 7, 2022, Limited","Jan 7, 2022",$51.2K,1h 33m,,,See for Me,,,
John Madden,"Charles S. Cohen,Iain Canning,Emile Sherman,Kris Thykier",Michelle Ashford,Netflix,"See-Saw Films,Cohen Media Group",PG-13 (Disturbing Images|Brief War Violence|Smoking|Some Sexual Content|Strong Language),"War,History,Drama",British English,"May 6, 2022, Limited","May 11, 2022",,2h 8m,Dolby Digital,,Operation Mincemeat,,,
Ivo van Hove,"Martin Lagestee,Marijke van der Molen",Jeroen Planting,,Lagestee Film BV,,Drama,Dutch,,"Nov 18, 2016",,1h 26m,,,Amsterdam,,,
Aneesh Chaganty,"Natalie Qasabian,Sev Ohanian","Aneesh Chaganty,Sev Ohanian",,Lionsgate,PG-13 (Language|Disturbing Thematic Content|Some Violence/Terror),Mystery & Thriller,English,,"Nov 20, 2020",,1h 30m,,Scope (2.35:1),Run,,,
Alex Garland,"Andrew Macdonald,Allon Reich,Scott Rudin,Eli Bush",Alex Garland,A24,"A24,DNA Films",R (Graphic Nudity|Disturbing and Violent Content|Grisly Images|Language),"Horror,Drama,Sci-Fi",British English,"May 20, 2022, Wide","Aug 9, 2022",$7.4M,1h 40m,Dolby Digital,Flat (1.85:1),Men,,,
Kevin Ko,"Jacys Cheng-Yu Lin,Hsu-fen Yang","Kevin Ko,Che-Wei Chang",,,,Horror,Chinese,,"Jul 8, 2022",,1h 50m,,,Incantation,,,
Dominic Cooke,"Adam Ackland,Rory Aitken,Ben Browning,Ben Pugh",Tom O'Connor,Lionsgate - Roadside Attractions,"42,SunnyMarch,FilmNation Entertainment",PG-13 (Partial Nudity|Brief Strong Language|Smoking Throughout|Violence),"Mystery & Thriller,History,Drama",English,"Mar 19, 2021, Wide","Apr 16, 2021",$6.6M,1h 51m,,,The Courier,,,
Euros Lyn,Debbie Gray,Talitha Stevenson,Lionsgate,"SKY,Genesius Pictures,Ingenious Media,Ginger Biscuit Entertainment",R,"Horror,Comedy",British English,"Oct 4, 2024, Limited","Oct 4, 2024",,1h 52m,,,The Radleys,,,
Hannah Marks,"Wyck Godfrey,Marty Bowen,Isaac Klausner","Elizabeth Berger,Isaac Aptaker",Max,"Temple Hill Entertainment,New Line Cinema",PG-13,"Drama,Romance",English,,"May 2, 2024",,1h 51m,,,Turtles All the Way Down,,,
Thea Sharrock,"Graham Broadbent,Peter Czernin,Colin Farrell,Ben Knight,Anita Overland",Frank Cottrell Boyce,Netflix,"Blueprint Pictures,Wildside,Film4",PG-13 (Some Language|A Suggestive Reference|Drug Reference|Brief Partial Nudity),"Drama,Sports",English,"Mar 25, 2024, Limited","Mar 29, 2024",,2h 4m,,,The Beautiful Game,,,
Tomek Baginski,"Yoshi Ikezawa,Joseph Chou,Tim Kwok","Matthew Stuecken,Kiel Murray,Josh Campbell",Stage 6 Films,"Sony Pictures Entertainment,Convergence Entertainment,Takz Film,Toei Animation,Toei Company,Stage 6 Films,Hero Squared,Sola Entertainment",PG-13 (Action/Violence),"Fantasy,Adventure,Action",English,"May 12, 2023, Wide","Jun 27, 2023",$925.0K,1h 52m,"Dolby Digital,Dolby Atmos",,Knights of the Zodiac,,,
Bong Joon Ho,,"Bong Joon Ho,Baek Cheol-hyeon,Ha Junwon",Magnolia Films,"Chockstone Pictures,Silver Reel,Nick Wechsler",R (Language|Creature Violence),"Horror,Comedy",Korean,"Mar 9, 2007, Limited","Nov 1, 2016",$2.2M,1h 59m,Dolby SRD,Flat (1.85:1),Host,,,
Ty Roberts,"Houston Hill,Matt Harvey,Pasha Patriki,Byron Campbell",Lane Garrison,Well Go USA Entertainment,"Santa Rita Film Co.,Well Go USA Entertainment,Media Finance Capital",PG (Language|Thematic Content|Suggestive References),"Kids & Family,Drama",English,"Aug 30, 2024, Wide","Sep 17, 2024",$1.4M,1h 44m,,,You Gotta Believe,,,
Carlson Young,"Mike Karz,William Bindley,Lena Roklin,Piers Tempest,Bill Bindley,René Besson,Audrey Tommassini Cross","Christine Lenig,Justin Matthews,Luke Spencer Roberts",Prime Video,"Future Artists Entertainment,Gulfstream Pictures,Tempo Productions Limited,Luber Roklin Entertainment",R,"Romance,Comedy",English,,"Feb 9, 2024",,1h 44m,,,Upgraded,,,
Carlos Ciurlizza,"Carlos Ciurlizza,Meackol Ciurlizza,Sara Ciurlizza",Carlos Ciurlizza,,"Cardom Producciones,Sarabona",,Drama,Spanish,,"Oct 17, 2019",,1h 48m,,,Sebastian,,,
Jaume Collet-Serra,"Beau Flynn,Hiram Garcia,Dwayne Johnson,Dany Garcia","Adam Sztykiel,Rory Haines,Sohrab Noshirvani",Warner Bros. Pictures,"New Line Cinema,Flynn Picture Company,Seven Bucks Productions",PG-13 (Sequences of Strong Violence|Intense Action|Some Language),"Action,Adventure,Fantasy",English,"Oct 21, 2022, Wide","Nov 22, 2022",$168.1M,2h 5m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),Black Adam,,,
Jake Johnson,"Ali Bell,Joe Hardesty,Jake Johnson",Jake Johnson,NEON,"The Lonely Island,MRC Film,Walcott Productions",R (Language Throughout),"Comedy,Mystery & Thriller",English,"Jan 3, 2024, Limited","Jan 12, 2024",,1h 29m,Dolby Digital,,Self Reliance,,,
Kt Baldassaro,,Kt Baldassaro,,Dead Henchmen Productions,,Mystery & Thriller,English,,,,37m,,,Girl in the Basement,,,
Brian Avenet-Bradley,Laurence Avenet-Bradley,Brian Avenet-Bradley,,,,"Horror,Sci-Fi,Mystery & Thriller",English,,"Jan 3, 2017",,1h 29m,,,Malignant,,,
Rob Savage,"Shawn Levy,Dan Levine,Dan Cohen","Scott Beck,Bryan Woods,Mark Heyman",20th Century Studios,"Twentieth Century Fox,20th Century Studios,NeoReel,21 Laps Entertainment",PG-13 (Teen Drug Use|Some Strong Language|Terror|Violent Content),"Horror,Mystery & Thriller",English,"Jun 2, 2023, Limited","Aug 29, 2023",$43.2M,1h 38m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,The Boogeyman,,,
Kenneth Branagh,"Kenneth Branagh,Judy Hofflund,Simon Kinberg,Ridley Scott",Michael Green,20th Century Studios,"The Mark Gordon Company,Scott Free Productions,TSG Entertainment,Kinberg Genre,20th Century Studios",PG-13 (Some Strong Violence|Disturbing Images|Thematic Elements),"Holiday,Mystery & Thriller,Drama",English,"Sep 15, 2023, Wide","Oct 31, 2023",$42.4M,1h 43m,Dolby Atmos,Flat (1.85:1),A Haunting in Venice,,,
Sue Kim,"Sue Kim,Malala Yousafzai,Erika Kennair",,Apple TV+,"A24,Apple TV+",,Documentary,,"Oct 11, 2024, Limited","Oct 11, 2024",,1h 27m,,,The Last of the Sea Women,,,
Guy Ritchie,"Ivan Atkinson,Bill Block,Steve Chasman,Guy Ritchie,Jason Statham","Guy Ritchie,Ivan Atkinson,Marn Davies",Lionsgate,"The Searchers NV,Tencent Pictures,AZ Celtic Films,STX Films,Miramax,Toff Guy Films",R (Language and Violence),"Action,Comedy,Mystery & Thriller",English,"Mar 3, 2023, Wide","Mar 21, 2023",$6.4M,1h 54m,,Digital 2.39:1,Operation Fortune: Ruse de guerre,,,
Sean Charmatz,Peter McCown,"Charlie Kaufman,Lloyd Taylor,Emma Yarlett",Netflix,"DreamWorks Animation,Mikros Animation",,"Kids & Family,Comedy,Animation",English,,"Feb 2, 2024",,1h 32m,,,Orion and the Dark,,,
Domee Shi,Lindsey Collins,"Julia Cho,Domee Shi",Disney/Pixar,"Walt Disney Pictures,Pixar Animation Studios",PG (Suggestive Content|Language|Thematic Material),"Kids & Family,Comedy,Fantasy,Animation",English,"Feb 9, 2024, Wide","Mar 11, 2022",$1.3M,1h 40m,Dolby Atmos,Flat (1.85:1),Turning Red,,,
Santos Daniel,Santos Daniel,,,,,"Comedy,Fantasy",Spanish,,,,10m,,,Good Boy,,,
Andrews Jenkins,"Rick Lashbrook,Darby Parker,Arthur M. Sarkissian,Tim O'Hair",Andrews Jenkins,IFC Films,Rick Lashbrook Films,,"Comedy,Drama",English,"Feb 6, 2008, Limited","Aug 4, 2017",$711,1h 21m,,,How to Rob a Bank,,,
Xavier Gens,,"Yannick Dahan,Xavier Gens,Yaël Langmann,Maud Heywang",Netflix,Let Me Be,,"Horror,Mystery & Thriller",French (France),,"Jun 5, 2024",,1h 41m,,,Under Paris,,,
Mitu Misra,"Andy McDermott,Danny Gulliver,Malcolm Scott","Ewen Glass,Andy McDermott",Bradford International Film Associates,Bradford International Film Associates,,"Mystery & Thriller,Crime,Drama",British English,"Feb 2, 2018, Limited","Feb 2, 2018",,1h 49m,,Scope (2.35:1),Lies We Tell,,,
Mahalia Belo,"Leah Clarke,Liza Marshall,Adam Ackland,Amy Jackson,Sophie Hunter",Alice Birch,Republic Pictures,"BFI Film Fund,BBC Film,Anton",R (Some Sexual Content and Nudity|Language),"Drama,Mystery & Thriller",English,"Jan 19, 2024, Wide","Feb 6, 2024",,1h 42m,,,The End We Start From,,,
Wes Anderson,"Wes Anderson,Steven Rales,Jeremy Dawson","Wes Anderson,Roman Coppola",Focus Features,"Universal Films,Focus Features,American Empirical Pictures,Indian Paintbrush",PG-13 (Smoking|Brief Graphic Nudity|Some Suggestive Material),"Comedy,Drama,Romance",English,"Jun 23, 2023, Wide","Jul 11, 2023",$28.1M,1h 45m,Dolby Digital,Digital 2.39:1,Asteroid City,,,
Darren Bousman,"Oren Koules,Mark Burg","Josh Stolberg,Pete Goldfinger",Lionsgate,Twisted Pictures,R (Grisly Bloody Violence|Brief Drug Use|Pervasive Language|Some Sexual References|Torture),"Horror,Mystery & Thriller",English,"May 14, 2021, Wide","Jul 13, 2021",$23.2M,1h 33m,Dolby Digital,Scope (2.35:1),Spiral: From the Book of Saw,,,
Yasmin Ahmad,Rosnah Kassim,Yasmin Ahmad,,,,Drama,English,,,,1h 20m,,,The Convert,,,
