Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Everardo Gout,"Jason Blum,Michael Bay,Andrew Form,Brad Fuller,Sebastien K. Lemercier,James DeMonaco",James DeMonaco,,"Blumhouse Productions,Universal Pictures,Platinum Dunes,Perfect World Pictures,Man in A Tree",R (Strong/Bloody Violence|Language Throughout),"Action,Mystery & Thriller,Horror",English,"Jul 2, 2021, Wide","Sep 14, 2021",$44.5M,1h 43m,,Flat (1.85:1),The Forever Purge,,,
David Koepp,"Jason Blum,Dean O'Toole",David Koepp,,Blumhouse Productions,R (Language|Disturbing Images|Sexual Content|Some Violence),"Horror,Mystery & Thriller",English,,"Jun 19, 2020",,1h 33m,,Flat (1.85:1),You Should Have Left,,,
Dan Reed,"Milo Riley-Smith,Dan Reed",,Max,HBO Documentary Films,,Documentary,English,,"Sep 17, 2024",,1h 40m,,,Stopping the Steal,,,
Amin Shahrbanoo,Amin Shahrbanoo,Amin Shahrbanoo,,Artoax,,"Drama,Sci-Fi",English,"Aug 20, 2020, Limited",,,47m,,,The Stranger,,,
Davis Guggenheim,"Davis Guggenheim,Annetta Marion,Jonathan King",,Apple Original Films,Concordia Studio,R (Language),"Documentary,Biography",English,"May 12, 2023, Limited","May 12, 2023",,1h 35m,,,Still: A Michael J. Fox Movie,,,
Derek Estlin Purvis,Michael Mailer,Derek Estlin Purvis,VMI Worldwide,Tranquillibrium Entertainment,,"Western,Adventure",English,"Mar 8, 2024, Limited","Mar 8, 2024",,1h 37m,,,The Ballad of Davy Crockett,,,
Christopher Landon,"Marty Bowen,Dan Halsted,Nathan Miller",Christopher Landon,Netflix,"Legendary Entertainment,Temple Hill Entertainment",PG-13 (Violence|Sexual/Suggestive References|Language),"Comedy,Adventure",English,"Feb 17, 2023, Limited","Feb 24, 2023",,2h 6m,,,We Have a Ghost,,,
Neil LaBute,"Lawrence Greenberg,Lucas Jarach,Eric Brenner",Neil LaBute,Amor Media,"Buffalo 8 Productions,Quiver Distribution,BondIt Media Capital",,"Action,Mystery & Thriller",English,"Jul 21, 2023, Limited","Jul 21, 2023",,1h 32m,,,Fear the Night,,,
Rob Diamond,Rob Diamond,Rob Diamond,,"Future Movie Productions,Rob Diamond Films",,"Holiday,Drama",English,"Dec 1, 2020, Limited","Dec 1, 2020",,1h 27m,,,Lucy Shimmers and the Prince of Peace,,,
Mandla Dube,"Tracey Lange,Tim Theron,Cobus van den Berg,Jorrie van der Walt","Deon Meyer,Willem Grobler",Netflix,Scene23,,Mystery & Thriller,English,,"Mar 29, 2024",,1h 45m,,,Heart of the Hunter,,,
