Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
Jeff Hamm,"Ken Ray Monts,Jeff Hamm,Jay Dee Walters","Justin Chaffee,Jay Dee Walters,Jeff Hamm",Ichthys Films,"Ichthys Films,Red Plaid Films",,"Drama,Comedy,Crime,Holiday",English,,"Nov 1, 2024",1h 47m,Porch Pirates,,,,,
Adrian Grunberg,"Arianne Fraser,Delphine Perrier,Jon Silk,Javier Chapa",Boise Esquerra,The Avenue,"Silk Mass,Lantica Media,Buzzfeed Studios,Diamond Films,Chocolatito,Mucho Mas Media",R (Some Grisly Images),"Mystery & Thriller,Action,Horror",English,"Apr 28, 2023, Limited","May 30, 2023",1h 40m,The Black Demon,,,,,
Laura McGann,"John Battsek,Sarah Thomson,Jamie D'Alton,Anne McLoughlin",Laura McGann,Netflix,"Ventureland,A24,Raw,Motive Pictures",PG (Language|Unsettling Images|Some Intense Peril),"Documentary,Biography,Sports",English,"Jul 14, 2023, Limited","Jul 19, 2023",1h 48m,The Deepest Breath,Dolby Digital,,,,
Laurel Parmet,"Kevin Rowe,Kara Durrett",Laurel Parmet,Bleecker Street,"2AM,Sons of Rigor Films,Pinky Promise",R,Drama,English,"May 12, 2023, Limited","Jul 11, 2023",1h 56m,The Starling Girl,,,$158.3K,,
Dolph Lundgren,"Dolph Lundgren,Craig Baumgarten","Dolph Lundgren,Michael Worth,Hank Hugues",Quiver Distribution,"Red Orm Productions Inc.,Millennium Media,Thor Pictures,BCD Travel",,"Action,Mystery & Thriller",English,"Jan 19, 2024, Limited","Jan 19, 2024",1h 26m,Wanted Man,,,,,
Liz Garbus,,,,,,,,,,,Coma,,,,,
Johannes Roberts,,"Johannes Roberts,Joseph London",,,R (Some Sexuality|Horror Violence|Nudity|Language),Horror,English,,,1h 35m,Demonic,,,,"Aug 19, 2008",
Kd Amond,"Kd Amond,Sarah Zanotti,Sara De La Haya,Nichole Marie Lim,Christopher Martin","Kd Amond,Sarah Zanotti",,AZ if Productions,,Horror,English,,"May 10, 2022",1h 23m,Faye,,Scope (2.35:1),,,
Jeff Zimbalist,"Jeff Zimbalist,Victoria Marquette,Polina Dubik",Jeff Zimbalist,Zeitgeist Films,All Rise Films,,"Documentary,Biography",English,"Jun 28, 2024, Limited","Sep 3, 2024",1h 42m,How to Come Alive with Norman Mailer,,,$64.2K,,
Kim O. Nguyen,"Jeremy Garelick,Will Phelps,Molle DeBartolo,Kevin Hart,Bryan Smiley,Luke Kelly-Clyne,Mickey Liddell,Pete Shilaimon",D.J. Mausner,Hulu,"American High,LD Entertainment,HartBeat Productions",,Comedy,English,,"May 3, 2024",1h 30m,Prom Dates,,,,,
"Alex Huston Fischer,Eleanor Wilson","Kara Durrett,Adi Ezroni,Mandy Tagger Brockey","Alex Huston Fischer,Eleanor Wilson",Bleecker Street Media,"Keshet Studios,Washingston Square Films,Last Rodeo Studios",R (Language),"Comedy,Sci-Fi",English,"Oct 2, 2020, Limited","Oct 6, 2020",1h 33m,Save Yourselves!,,Flat (1.85:1),$297.3K,,
Jennifer Perrott,Martin Pope,"Tom Bidwell,Margery Williams",Apple TV+,Magic Light Pictures,,"Kids & Family,Drama,Animation,Fantasy",English,,"Nov 22, 2023",44m,The Velveteen Rabbit,,,,,
